amount0,amount1,liquidity,tick,timestamp
49581802152231162533,-49579259,600721178376759721339,-276325,2026-07-18 16:48:11.000 UTC
-4781363659493465000000,4780841655,600721178376759721339,-276325,2026-07-18 16:52:47.000 UTC
944441921558888484049,-944380000,600721178376759721339,-276325,2026-07-18 16:53:23.000 UTC
12752997028171398302258,-12752451646,600721178376759721339,-276325,2026-07-18 16:55:11.000 UTC
1688656819532564201795,-1688625198,600721178376759721339,-276325,2026-07-18 16:58:11.000 UTC
-4502514096004650735552,4502183575,600721178376759721339,-276325,2026-07-18 16:58:23.000 UTC
-4298040443234175530577,4297661974,600721178376759721339,-276325,2026-07-18 17:04:59.000 UTC
901809418745019377781,-901770000,600721178376759721339,-276325,2026-07-18 17:16:35.000 UTC
11000262903585105142578,-11000000000,600721178376759721339,-276325,2026-07-18 17:17:23.000 UTC
-1327102155223470024329,1327025453,600721178376759721339,-276325,2026-07-18 17:21:11.000 UTC
148734884879678519398,-148733434,600721178376759721339,-276325,2026-07-18 17:26:47.000 UTC
-2458992302066649620,2458845,600721178376759721339,-276325,2026-07-18 17:27:59.000 UTC
-25613544000000000000,25612018,600721178376759721339,-276325,2026-07-18 17:28:35.000 UTC
-292000000000000000000,291982453,600721178376759721339,-276325,2026-07-18 17:31:23.000 UTC
-4050125733055586425,4049880,600721178376759721339,-276325,2026-07-18 17:34:59.000 UTC
-19701000000000000,19699,600721178376759721339,-276325,2026-07-18 17:51:59.000 UTC
-995000000000000000,994939,600721178376759721339,-276325,2026-07-18 17:54:47.000 UTC
-1960247254597348443649,1960122081,600721178376759721339,-276325,2026-07-18 18:02:47.000 UTC
4880043904048697694828,-4880000000,600721178376759721339,-276325,2026-07-18 18:02:59.000 UTC
-7157327561926395861,7156963,600721178376759721339,-276325,2026-07-18 18:04:11.000 UTC
26004822972740969503,-26004866,600721178376759721339,-276325,2026-07-18 18:10:35.000 UTC
262561902616780879149,-262562203,600721178376759721339,-276325,2026-07-18 18:10:35.000 UTC
480700105042823804151,-480700059,600721178376759721339,-276325,2026-07-18 18:10:35.000 UTC
-186467400000000000000,186458329,600721178376759721339,-276325,2026-07-18 18:16:35.000 UTC
-239447395000000000000,239435577,600721178376759721339,-276325,2026-07-18 18:18:59.000 UTC
2987693122113653281661,-2987708717,600721178376759721339,-276325,2026-07-18 18:20:47.000 UTC
53970726303375301970,-53971282,600721178376759721339,-276325,2026-07-18 18:21:11.000 UTC
163222671184439796996,-163224409,600721178376759721339,-276325,2026-07-18 18:24:23.000 UTC
12155671955102761524,-12155805,600721178376759721339,-276325,2026-07-18 18:25:23.000 UTC
-27209116000000000000,27208052,600721178376759721339,-276325,2026-07-18 18:32:47.000 UTC
-143251876534551693578,143246236,600721178376759721339,-276325,2026-07-18 18:50:23.000 UTC
-305043305516766205127,305031067,600721178376759721339,-276325,2026-07-18 18:53:11.000 UTC
-251195962917801651644,251185652,600721178376759721339,-276325,2026-07-18 19:01:59.000 UTC
-2555054441700000000,2554948,600721178376759721339,-276325,2026-07-18 19:03:23.000 UTC
-13049776210555388541961,13048951563,600721178376759721339,-276325,2026-07-18 19:14:11.000 UTC
7429714058338406433,-7429455,600721178376759721339,-276325,2026-07-18 19:50:23.000 UTC
113038667630448835183,-113034745,600721178376759721339,-276325,2026-07-18 19:55:47.000 UTC
-7949635360377617415517,7948858332,600721178376759721339,-276325,2026-07-18 20:08:11.000 UTC
-4875689051641330310809,4875108406,600721178376759721339,-276326,2026-07-18 20:09:35.000 UTC
-9479787014913905393664,9479282975,600721178376759721339,-276325,2026-07-18 20:09:47.000 UTC
17499841779131542722798,-17500000000,4904497009472547634555,-276325,2026-07-18 20:09:47.000 UTC
24836182855918082028444,-24835292010,600721178376759721339,-276325,2026-07-18 20:09:47.000 UTC
-3842016243889444298,3841751,600721178376759721339,-276325,2026-07-18 20:14:23.000 UTC
-30506948875023343957,30504843,600721178376759721339,-276325,2026-07-18 20:17:59.000 UTC
-1988840154033778192,1988702,600721178376759721339,-276325,2026-07-18 20:21:47.000 UTC
-211225915009255966076,211211251,600721178376759721339,-276325,2026-07-18 20:29:11.000 UTC
-387000000000000000000,386972748,600721178376759721339,-276325,2026-07-18 20:34:47.000 UTC
-5417374956285150886314,5416941141,600721178376759721339,-276325,2026-07-18 20:39:23.000 UTC
-1091800231000000000000,1091700972,600721178376759721339,-276325,2026-07-18 20:40:23.000 UTC
1736291086494358426136,-1736221909,600721178376759721339,-276325,2026-07-18 20:54:23.000 UTC
321269537265464541310,-321257838,600721178376759721339,-276325,2026-07-18 21:26:47.000 UTC
8075181214488569432503,-8075000000,600721178376759721339,-276325,2026-07-18 21:33:47.000 UTC
-29741417036761611126,29739660,600721178376759721339,-276325,2026-07-18 21:40:59.000 UTC
-3579906096653430881,3579694,600721178376759721339,-276325,2026-07-18 21:42:11.000 UTC
-9623978462281370784251,9623255435,600721178376759721339,-276325,2026-07-18 21:47:47.000 UTC
50477219720057494573,-50475147,600721178376759721339,-276325,2026-07-18 21:49:47.000 UTC
-27730990586386284284,27728466,600721178376759721339,-276325,2026-07-18 21:50:23.000 UTC
2948505799665783529,-2948385,600721178376759721339,-276325,2026-07-18 21:51:23.000 UTC
39921636663991779136,-39920000,600721178376759721339,-276325,2026-07-18 21:52:11.000 UTC
-6457173948039749215210,6456517414,600721178376759721339,-276325,2026-07-18 21:53:23.000 UTC
8881083690358383228102,-8880660566,600721178376759721339,-276325,2026-07-18 22:05:35.000 UTC
-9684200000000000000,9683397,600721178376759721339,-276325,2026-07-18 22:06:23.000 UTC
