timestamp,netAmount0,netAmount1,closeTick,openTick,lowestTick,highestTick,inAmount0,inAmount1,currentLiquidity,pool_price,usdc_price,oracle_price,dev_bps,token0,token1,usdc_sold_into_pool,swap_direction,peg_below,is_drain,swap_size_usd,drain_volume_usd
2026-05-01 03:57:00,-335336269,335411966,1.0,1.0,1.0,1.0,0,335411966,97616165795274506,1.0,0.99973,0.99973,2.6999999999999247,USDC,USDT,False,buy_usdc,True,False,335.411966,0.0
2026-05-01 03:58:00,-899855966,900059104,1.0,1.0,1.0,1.0,0,900059104,97616165795274506,1.0,0.99973,0.99973,2.6999999999999247,USDC,USDT,False,buy_usdc,True,False,900.059104,0.0
2026-05-01 04:03:00,8101725537,-8101933224,1.0,1.0,1.0,1.0,8101725537,0,97616165795274506,1.0,0.99973,0.99973,2.6999999999999247,USDC,USDT,True,sell_usdc,True,True,8101.725537,8101.725537
2026-05-01 04:04:00,-136843625,136874496,1.0,1.0,1.0,1.0,0,136874496,97616165795274506,1.0,0.99973,0.99973,2.6999999999999247,USDC,USDT,False,buy_usdc,True,False,136.874496,0.0
2026-05-01 04:06:00,-1416154915,1416474407,1.0,1.0,1.0,1.0,0,1416474407,97616165795274506,1.0,0.99973,0.99973,2.6999999999999247,USDC,USDT,False,buy_usdc,True,False,1416.474407,0.0
2026-05-01 04:07:00,102671421,-102663047,1.0,1.0,1.0,1.0,157659014,55000000,97616165795274506,1.0,0.99973,0.99973,2.6999999999999247,USDC,USDT,True,sell_usdc,True,True,212.659014,212.659014
2026-05-01 04:08:00,49760000000,-49761247585,1.0,1.0,1.0,1.0,49760000000,0,97616165795274506,1.0,0.99973,0.99973,2.6999999999999247,USDC,USDT,True,sell_usdc,True,True,49760.0,49760.0
2026-05-01 04:09:00,120880345,-120883312,1.0,1.0,1.0,1.0,120880345,0,97616165795274506,1.0,0.99973,0.99973,2.6999999999999247,USDC,USDT,True,sell_usdc,True,True,120.880345,120.880345
2026-05-01 04:10:00,1448554446,-1448590000,1.0,1.0,1.0,1.0,1448554446,0,97616165795274506,1.0,0.99973,0.99973,2.6999999999999247,USDC,USDT,True,sell_usdc,True,True,1448.554446,1448.554446
2026-05-01 04:11:00,20000000000,-20000486505,1.0,1.0,1.0,1.0,20000000000,0,97616165795274506,1.0,0.99973,0.99973,2.6999999999999247,USDC,USDT,True,sell_usdc,True,True,20000.0,20000.0
